##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	gen_25199_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3428590
Sequences flagged as poor quality	0
Sequence length	150
%GC	38
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.522311795811106	37.0	37.0	37.0	37.0	37.0
2	36.50585750993849	37.0	37.0	37.0	37.0	37.0
3	36.53632659489761	37.0	37.0	37.0	37.0	37.0
4	36.51942810309777	37.0	37.0	37.0	37.0	37.0
5	36.55355000160416	37.0	37.0	37.0	37.0	37.0
6	36.567222094213655	37.0	37.0	37.0	37.0	37.0
7	36.59004022061547	37.0	37.0	37.0	37.0	37.0
8	36.58296034229814	37.0	37.0	37.0	37.0	37.0
9	36.57900361373043	37.0	37.0	37.0	37.0	37.0
10-14	36.58617052490966	37.0	37.0	37.0	37.0	37.0
15-19	36.5734728853552	37.0	37.0	37.0	37.0	37.0
20-24	36.55145322129505	37.0	37.0	37.0	37.0	37.0
25-29	36.50092801997322	37.0	37.0	37.0	37.0	37.0
30-34	36.47712383224591	37.0	37.0	37.0	37.0	37.0
35-39	36.44873653601043	37.0	37.0	37.0	37.0	37.0
40-44	36.423783946170296	37.0	37.0	37.0	37.0	37.0
45-49	36.397676479252404	37.0	37.0	37.0	37.0	37.0
50-54	36.370184536500425	37.0	37.0	37.0	37.0	37.0
55-59	36.336143604222144	37.0	37.0	37.0	37.0	37.0
60-64	36.324119827684264	37.0	37.0	37.0	37.0	37.0
65-69	36.28654385622078	37.0	37.0	37.0	37.0	37.0
70-74	36.264522558836134	37.0	37.0	37.0	37.0	37.0
75-79	36.21653175211968	37.0	37.0	37.0	37.0	37.0
80-84	36.17789155308742	37.0	37.0	37.0	37.0	37.0
85-89	36.13016966158101	37.0	37.0	37.0	37.0	37.0
90-94	36.07500062707994	37.0	37.0	37.0	37.0	37.0
95-99	36.011684103377775	37.0	37.0	37.0	37.0	37.0
100-104	35.99250298227551	37.0	37.0	37.0	37.0	37.0
105-109	35.90708740327656	37.0	37.0	37.0	37.0	37.0
110-114	35.85597058849265	37.0	37.0	37.0	37.0	37.0
115-119	35.79522900084291	37.0	37.0	37.0	37.0	37.0
120-124	35.71621127052229	37.0	37.0	37.0	37.0	37.0
125-129	35.62202188071482	37.0	37.0	37.0	37.0	37.0
130-134	35.56637766545431	37.0	37.0	37.0	37.0	37.0
135-139	35.49820042641436	37.0	37.0	37.0	37.0	37.0
140-144	35.386297165890355	37.0	37.0	37.0	34.6	37.0
145-149	35.208849410399026	37.0	37.0	37.0	25.0	37.0
150	35.0579486027784	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1103	30-34	-0.02963307685194394
1103	35-39	0.017605145725610782
1103	40-44	0.08355969051694245
1103	45-49	-0.03581272961695703
1103	50-54	-0.0776842901317778
1103	55-59	0.11332805395877443
1103	60-64	-0.009863094189221044
1103	65-69	-0.08136723025143766
1103	70-74	0.0974198982405241
1103	75-79	0.03168135667068128
1103	80-84	-0.02642867951119854
1103	85-89	0.04212242292937418
1103	90-94	0.05777143340329616
1103	95-99	0.0695415859887305
1103	100-104	0.013006931646216913
1103	105-109	0.016517141124388957
1103	110-114	0.04490732795929375
1103	115-119	-0.047386538658038546
1103	120-124	-0.08805670243716435
1103	125-129	0.061217489441844464
1103	130-134	-0.11804769691387662
1103	135-139	0.04086244346894574
1103	140-144	0.12014696172597894
1103	145-149	0.026141663382411195
1103	150	-0.001293576106895955
1104	1	0.19047948756900723
1104	2	0.16750221930723797
1104	3	0.31165412299842643
1104	4	0.31857245524482636
1104	5	0.1618023164591662
1104	6	0.19502413889721026
1104	7	0.11516254829093953
1104	8	0.19698319376743711
1104	9	0.13401057721389265
1104	10-14	0.10834025770879663
1104	15-19	0.22637100457848192
1104	20-24	0.17387408823907435
1104	25-29	0.10513254852592979
1104	30-34	0.1940587000313343
1104	35-39	0.17398237401773287
1104	40-44	0.19149528568657814
1104	45-49	0.15734425715704958
1104	50-54	0.15074009169685354
1104	55-59	0.07427112468908348
1104	60-64	0.06813000529323432
1104	65-69	0.12494674329657585
1104	70-74	0.15123243418072008
1104	75-79	0.17987572124801687
1104	80-84	0.19673980812537906
1104	85-89	0.04576244593110346
1104	90-94	-0.01665639868410551
1104	95-99	0.045924564712137794
1104	100-104	0.08220762169796814
1104	105-109	0.0730783832175419
1104	110-114	-0.07370106767038465
1104	115-119	0.16613847571803575
1104	120-124	-0.007567915778167844
1104	125-129	-8.009119382563767E-4
1104	130-134	0.028070761970539593
1104	135-139	0.09194927498131023
1104	140-144	0.18129129755116224
1104	145-149	0.3096666777584929
1104	150	-0.39054026960891264
1105	1	0.19002192637019277
1105	2	0.29836472216700116
1105	3	0.17552966635234668
1105	4	0.225344360987215
1105	5	0.21779636816358305
1105	6	0.12804861842134585
1105	7	0.17647574893153006
1105	8	-0.11724695951556896
1105	9	0.1415603369942673
1105	10-14	0.08136702503892224
1105	15-19	0.12743483436571523
1105	20-24	0.2139335711949144
1105	25-29	0.17289736206974737
1105	30-34	0.2098903175101654
1105	35-39	0.15057811869858284
1105	40-44	0.0249430093196068
1105	45-49	-0.015179192854390067
1105	50-54	0.09174901414023395
1105	55-59	0.048556185315938194
1105	60-64	0.18415608628157543
1105	65-69	0.13688909058552667
1105	70-74	0.13526354834223753
1105	75-79	0.03895831104441072
1105	80-84	0.18352772850973054
1105	85-89	-0.08675871627434617
1105	90-94	0.27212191291507537
1105	95-99	0.027175994590884045
1105	100-104	0.14958350822278987
1105	105-109	0.023387237026732066
1105	110-114	-0.022294066984045458
1105	115-119	-0.07508778829476626
