##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	gen_25199_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3428590
Sequences flagged as poor quality	0
Sequence length	150
%GC	38
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.57585304746266	37.0	37.0	37.0	37.0	37.0
2	36.54935994096699	37.0	37.0	37.0	37.0	37.0
3	36.548644194843945	37.0	37.0	37.0	37.0	37.0
4	36.53260611505021	37.0	37.0	37.0	37.0	37.0
5	36.5407750708017	37.0	37.0	37.0	37.0	37.0
6	36.55941363650947	37.0	37.0	37.0	37.0	37.0
7	36.546123041833525	37.0	37.0	37.0	37.0	37.0
8	36.54791590712217	37.0	37.0	37.0	37.0	37.0
9	36.53803633563651	37.0	37.0	37.0	37.0	37.0
10-14	36.53490221927965	37.0	37.0	37.0	37.0	37.0
15-19	36.5172386899571	37.0	37.0	37.0	37.0	37.0
20-24	36.499884442292604	37.0	37.0	37.0	37.0	37.0
25-29	36.46361384709166	37.0	37.0	37.0	37.0	37.0
30-34	36.43046640164032	37.0	37.0	37.0	37.0	37.0
35-39	36.39856996607935	37.0	37.0	37.0	37.0	37.0
40-44	36.37608317121616	37.0	37.0	37.0	37.0	37.0
45-49	36.337559754884666	37.0	37.0	37.0	37.0	37.0
50-54	36.29903750521351	37.0	37.0	37.0	37.0	37.0
55-59	36.27336386094576	37.0	37.0	37.0	37.0	37.0
60-64	36.2323497414389	37.0	37.0	37.0	37.0	37.0
65-69	36.18951942343646	37.0	37.0	37.0	37.0	37.0
70-74	36.14294208406371	37.0	37.0	37.0	37.0	37.0
75-79	36.11771795402775	37.0	37.0	37.0	37.0	37.0
80-84	36.05575796464436	37.0	37.0	37.0	37.0	37.0
85-89	35.99416413161096	37.0	37.0	37.0	37.0	37.0
90-94	35.9634170898241	37.0	37.0	37.0	37.0	37.0
95-99	35.91920987927982	37.0	37.0	37.0	37.0	37.0
100-104	35.83180012774931	37.0	37.0	37.0	37.0	37.0
105-109	35.81230599167588	37.0	37.0	37.0	37.0	37.0
110-114	35.69361189293558	37.0	37.0	37.0	37.0	37.0
115-119	35.6262203996395	37.0	37.0	37.0	37.0	37.0
120-124	35.53333294444655	37.0	37.0	37.0	37.0	37.0
125-129	35.449225016697824	37.0	37.0	37.0	37.0	37.0
130-134	35.38397662012664	37.0	37.0	37.0	37.0	37.0
135-139	35.16408692786247	37.0	37.0	37.0	25.0	37.0
140-144	35.033039296037146	37.0	37.0	37.0	25.0	37.0
145-149	34.942018730731874	37.0	37.0	37.0	25.0	37.0
150	34.78789589889721	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1105	5	0.1272013109019099
1105	6	0.3390286011180095
1105	7	0.28679642655529847
1105	8	-0.15167165013676254
1105	9	0.2678199376241537
1105	10-14	-0.08253610207238893
1105	15-19	0.09513450741251717
1105	20-24	0.04131835302023035
1105	25-29	0.16455960515050094
1105	30-34	0.10763565518750084
1105	35-39	0.12423348774203902
1105	40-44	0.00529010204213165
1105	45-49	0.11362732898853523
1105	50-54	0.23761950663358533
1105	55-59	0.05292421812779935
1105	60-64	0.1889378651504643
1105	65-69	0.16075907895142194
1105	70-74	0.0839576818230654
1105	75-79	0.22406042706283102
1105	80-84	0.22607773012467192
1105	85-89	0.24816116223703233
1105	90-94	0.269945644133017
1105	95-99	0.27629722672175916
1105	100-104	0.39904860484743665
1105	105-109	0.44578286505319653
1105	110-114	0.17322113892647195
1105	115-119	0.28176210122826717
1105	120-124	0.2566673432539517
1105	125-129	0.34736179486412766
1105	130-134	0.3319619762641395
1105	135-139	0.2777852434906407
1105	140-144	0.4236076183061215
1105	145-149	0.4889753543532507
1105	150	0.25203756912821973
1106	1	-3.031057561102557E-4
1106	2	0.12713906970240885
1106	3	0.08977702558647138
1106	4	0.21812955247742138
1106	5	0.17257765498792565
1106	6	-0.09219720533360487
1106	7	0.13350610397465346
1106	8	0.13052189825033622
1106	9	0.04007800214027668
1106	10-14	0.1309778764222358
1106	15-19	0.0844248299931607
1106	20-24	0.15060867560087843
1106	25-29	0.134512293322544
1106	30-34	0.25216038637029214
1106	35-39	0.15475391784956827
1106	40-44	0.19799547838621834
1106	45-49	0.18848324296703822
1106	50-54	0.23816144211744472
1106	55-59	0.3090188417837183
1106	60-64	0.1562668974085213
1106	65-69	0.1766816595965821
1106	70-74	0.21712757429617824
1106	75-79	0.11418515824562547
1106	80-84	0.29266697743651093
1106	85-89	0.2179762160004799
1106	90-94	0.2398553215523762
1106	95-99	0.25506711919487657
1106	100-104	0.25483355108399763
1106	105-109	0.24802802634351906
1106	110-114	0.3433974830124953
1106	115-119	0.37057070337880305
1106	120-124	0.4295533647593288
1106	125-129	0.6258392142189635
1106	130-134	0.3071103633609127
1106	135-139	0.34362610370569513
1106	140-144	0.5085796613168583
1106	145-149	0.5016033113424996
1106	150	0.427822515364781
1107	1	-0.17152073661010547
1107	2	0.35863218265006935
1107	3	-0.021385508848787538
1107	4	0.13804139820744865
1107	5	-0.11811105024622748
1107	6	-0.0765938995484845
1107	7	-0.059066898780166355
1107	8	0.21894063103270156
1107	9	0.09208902142402309
1107	10-14	0.12296465328174122
1107	15-19	-0.10528315898756091
1107	20-24	0.10701638909949196
1107	25-29	0.09129025475505159
1107	30-34	0.16771741116367878
1107	35-39	0.21036163134818509
1107	40-44	0.14525277866169972
1107	45-49	0.2496799371819094
1107	50-54	0.20618788839843916
1107	55-59	0.15841608696278087
